Type of the initiative,subnational,Policy ID,Country ISO
ETS,yes,,CAN
Carbon tax,no,999001,ARG
Undecided,no,,AUT
ETS,yes,,CAN
Carbon tax,yes,,CAN
ETS,yes,,CHN
ETS,yes,,USA
ETS,no,1387,CAN
Carbon tax,no,1387,CAN
Carbon tax,yes,,ESP
ETS,no,,CHL
Carbon tax,no,4202,CHL
ETS,yes,,CHN
ETS,no,,COL
Carbon tax,no,4311,COL
Carbon tax,no,,CIV
Carbon tax,no,,DNK
ETS,no,722,EUE
Carbon tax,no,,EST
Carbon tax,no,,FIN
Carbon tax,no,3248,FRA
ETS,yes,,CHN
ETS,yes,,CHN
Carbon tax,no,,USA
ETS,yes,,CHN
Carbon tax,no,,ISL
ETS,no,,IDN
Carbon tax,no,,IRL
Carbon tax,yes,,MEX
Carbon tax,no,3037,JPN
ETS,no,3729,KAZ
ETS,no,833,KOR
Carbon tax,no,,LVA
Carbon tax,no,,LIE
Carbon tax,no,,LUX
ETS,yes,,CAN
Carbon tax,yes,,CAN
ETS,yes,,USA
Carbon tax,no,418,MEX
ETS,no,830,MEX
ETS,no,,MNE
Carbon tax,no,,NLD
ETS,yes,,CAN
Carbon tax,yes,,CAN
ETS,no,,NZL
ETS,yes,,CAN
Carbon tax,yes,,CAN
Carbon tax,yes,,CAN
Carbon tax,no,3531,NOR
ETS,yes,,CAN
ETS,yes,,CAN
ETS,yes,,CAN
ETS,yes,,USA
Carbon tax,no,,POL
Carbon tax,no,,PRT
Carbon tax,yes,,CAN
ETS,yes,,CAN
ETS,yes,,USA
ETS,yes,,JPN
ETS,yes,,CAN
Carbon tax,no,,SEN
ETS,yes,,CHN
ETS,yes,,CHN
Carbon tax,no,3543,SGP
Carbon tax,no,,SVN
Carbon tax,no,400,ZAF
Carbon tax,no,999003,ESP
Carbon tax,no,5102,SWE
ETS,no,3883,CHE
Carbon tax,no,3532,CHE
ETS,yes,,CAN
ETS,no,,CHN
ETS,no,,THA
ETS,yes,,CHN
ETS,yes,,JPN
Carbon tax,no,409,GBR
Carbon tax,no,999002,UKR
ETS,no,,VNM
Carbon tax,yes,,MEX
