Type of policy instrument,IEA category,IEA subcategory
Strategic planning,Policy Support,
Policy support,Policy Support,
Grants and subsidies,Economic Instruments,Financial incentives
Regulatory Instruments,Regulatory Instruments,
Information provision,Information and Education,
Target,Policy Support,
GHG reduction target,Policy Support,
Fiscal or financial incentives,Economic Instruments,Financial incentives
Renewable energy target,Policy Support,
Tax relief,Economic Instruments,Financial incentives
Political & non-binding GHG reduction target,Policy Support,
Codes and standards,Regulatory Instruments,
Political & non-binding climate strategy,Policy Support,
Climate strategy,Policy Support,
Advice or aid in implementation,Information and Education,
Information and education,Information and Education,
Other mandatory requirements,Regulatory Instruments,
Institutional creation,Policy Support,
Political & non-binding renewable energy target,Policy Support,
Feed-in tariffs or premiums,Economic Instruments,Financial incentives
Infrastructure investments,Economic Instruments,Procurement and investment
Monitoring,Regulatory Instruments,
Product standards,Regulatory Instruments,
Loans,Economic Instruments,Financial incentives
Technology development,"Research, Development and Deployment",
Economic instruments,Economic Instruments,Financial incentives
Demonstration project,"Research, Development and Deployment",
Technology deployment and diffusion,"Research, Development and Deployment",
Direct investment,Economic Instruments,Procurement and investment
Building codes and standards,Regulatory Instruments,
Sectoral standards,Regulatory Instruments,
Energy efficiency target,Policy Support,
Obligation schemes,Regulatory Instruments,
Voluntary approaches,Voluntary Approaches,
Energy and other taxes,Economic Instruments,Financial incentives
Research programme,"Research, Development and Deployment",
Performance label,Information and Education,
Vehicle fuel-economy and emissions standards,Regulatory Instruments,
Formal & legally binding renewable energy target,Policy Support,
Auditing,Regulatory Instruments,
RD&D funding,"Research, Development and Deployment",
Comparison label,Information and Education,
Formal & legally binding climate strategy,Policy Support,
Endorsement label,Information and Education,
Market-based instruments,Economic Instruments,Financial incentives
Formal & legally binding GHG reduction target,Policy Support,
Procurement rules,Economic Instruments,Procurement and investment
Funds to sub-national governments,Economic Instruments,Procurement and investment
Political & non-binding energy efficiency target,Policy Support,
Professional training and qualification,Information and Education,
Tendering schemes,Economic Instruments,Financial incentives
GHG emission reduction crediting and offsetting mechanism,Economic Instruments,Financial incentives
Grid access and priority for renewables,Regulatory Instruments,
GHG emissions allowances,Economic Instruments,Financial incentives
CO2 taxes,Economic Instruments,Financial incentives
Coordinating body for climate strategy,Policy Support,
Green certificates,Information and Education,
Formal & legally binding energy efficiency target,Policy Support,
Net metering,Economic Instruments,Financial incentives
Public voluntary schemes,Voluntary Approaches,
Retirement premium,Economic Instruments,Financial incentives
White certificates,Information and Education,
User charges,Economic Instruments,Financial incentives
Barrier removal,Information and Education,
Industrial air pollution standards,Regulatory Instruments,
Vehicle air pollution standards,Regulatory Instruments,
Removal of fossil fuel subsidies,Economic Instruments,Financial incentives
Unilateral commitments (private sector),Voluntary Approaches,
Research & Development and Deployment (RD&D),"Research, Development and Deployment",
Negotiated agreements (public-private sector),Voluntary Approaches,
